trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.01, 'e': 0.95}",35,18,-6.588299845496903,"{0: 14, 1: 2, 2: 0, 3: 1, 4: 0}",1
2,False,"{'a': 0.01, 'e': 0.8999999999999999}",20,0,-45.000741294388014,"{0: 14, 1: 0, 2: 6, 3: 0, 4: 0}",0
3,False,"{'a': 0.01, 'e': 0.8499999999999999}",25,0,-99.20796173041589,"{0: 16, 1: 1, 2: 7, 3: 0, 4: 1}",0
4,False,"{'a': 0.01, 'e': 0.7999999999999998}",35,0,-139.22302057735178,"{0: 23, 1: 5, 2: 4, 3: 1, 4: 2}",0
5,False,"{'a': 0.01, 'e': 0.7499999999999998}",25,0,-141.80543452303408,"{0: 14, 1: 4, 2: 4, 3: 1, 4: 2}",0
6,False,"{'a': 0.01, 'e': 0.6999999999999997}",25,0,-239.3805046472213,"{0: 14, 1: 1, 2: 3, 3: 3, 4: 4}",0
7,False,"{'a': 0.01, 'e': 0.6499999999999997}",20,1,-21.9791763233633,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 0}",1
8,False,"{'a': 0.01, 'e': 0.5999999999999996}",30,12,-41.60356116386285,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 1}",1
9,False,"{'a': 0.01, 'e': 0.5499999999999996}",20,12,-1.0428468583514956,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
10,False,"{'a': 0.01, 'e': 0.4999999999999996}",20,0,-88.19258056680549,"{0: 16, 1: 1, 2: 0, 3: 1, 4: 2}",0
11,False,"{'a': 0.01, 'e': 0.4499999999999996}",20,0,-38.864834132146065,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
12,False,"{'a': 0.01, 'e': 0.39999999999999963}",25,3,-41.98433440463736,"{0: 17, 1: 2, 2: 2, 3: 0, 4: 1}",1
13,False,"{'a': 0.01, 'e': 0.34999999999999964}",25,0,-39.42129767674879,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",0
14,False,"{'a': 0.01, 'e': 0.29999999999999966}",25,0,19.200925298205753,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
15,False,"{'a': 0.01, 'e': 0.24999999999999967}",20,1,-7.75050361946133,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 0}",1
16,False,"{'a': 0.01, 'e': 0.19999999999999968}",25,14,15.98252958272878,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,False,"{'a': 0.01, 'e': 0.1499999999999997}",25,6,29.613421488475232,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,False,"{'a': 0.01, 'e': 0.09999999999999969}",20,0,17.497949828455337,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
19,False,"{'a': 0.01, 'e': 0.049999999999999684}",30,15,27.4915010979016,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.01, 'e': -3.191891195797325e-16}",20,5,24.059825612153876,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0.0, 'e': 0.0}",25,0,38.39423195382767,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
2,True,"{'a': 0.0, 'e': 0.0}",20,0,27.09735821871421,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
3,True,"{'a': 0.0, 'e': 0.0}",30,3,39.49194340122874,"{0: 27, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0.0, 'e': 0.0}",25,16,16.305232420569517,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0.0, 'e': 0.0}",25,13,18.440581992707553,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0.0, 'e': 0.0}",20,0,26.37545478553908,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
7,True,"{'a': 0.0, 'e': 0.0}",20,8,20.99579532384777,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0.0, 'e': 0.0}",25,12,21.29140194582328,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0.0, 'e': 0.0}",20,0,31.046074099599277,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
10,True,"{'a': 0.0, 'e': 0.0}",35,15,32.46348567986598,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
