trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.2, 'e': 0.5}",25,0,-156.06805424368687,"{0: 15, 1: 1, 2: 6, 3: 1, 4: 2}",0
2,False,"{'a': 0.2, 'e': 0.54}",30,0,-151.43969189790593,"{0: 19, 1: 1, 2: 7, 3: 1, 4: 2}",0
3,False,"{'a': 0.2, 'e': 0.5800000000000001}",30,0,-78.07629749117922,"{0: 22, 1: 3, 2: 4, 3: 0, 4: 1}",0
4,False,"{'a': 0.2, 'e': 0.6200000000000001}",25,14,-13.647276736500192,"{0: 7, 1: 2, 2: 2, 3: 0, 4: 0}",1
5,False,"{'a': 0.2, 'e': 0.25}",25,8,-67.55804293404032,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 2}",1
6,False,"{'a': 0.2, 'e': 0.24}",20,0,-40.123231073549356,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
7,False,"{'a': 0.2, 'e': 0.27999999999999997}",25,0,-100.03610921660976,"{0: 17, 1: 1, 2: 5, 3: 1, 4: 1}",0
8,False,"{'a': 0.2, 'e': 0.31999999999999995}",20,10,-81.16164653762175,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 2}",1
9,False,"{'a': 0.2, 'e': 0.30999999999999994}",20,3,8.267749593082291,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
10,False,"{'a': 0.2, 'e': 0.29999999999999993}",30,0,-30.830737876756046,"{0: 26, 1: 2, 2: 1, 3: 0, 4: 1}",0
11,False,"{'a': 0.2, 'e': 0.3399999999999999}",35,0,-95.8853650073074,"{0: 27, 1: 2, 2: 4, 3: 0, 4: 2}",0
12,False,"{'a': 0.2, 'e': 0.3799999999999999}",25,0,-64.65355588336459,"{0: 20, 1: 1, 2: 2, 3: 1, 4: 1}",0
13,False,"{'a': 0.2, 'e': 0.4199999999999999}",25,0,-43.32326071304066,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",0
14,False,"{'a': 0.2, 'e': 0.45999999999999985}",25,18,11.707926067896992,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
15,False,"{'a': 0.2, 'e': 0.44999999999999984}",20,0,-17.21315313886457,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
16,False,"{'a': 0.2, 'e': 0.4899999999999998}",25,12,-15.669294973384499,"{0: 11, 1: 0, 2: 1, 3: 1, 4: 0}",1
17,False,"{'a': 0.2, 'e': 0.4799999999999998}",30,12,-17.46592481105297,"{0: 14, 1: 2, 2: 1, 3: 1, 4: 0}",1
18,False,"{'a': 0.2, 'e': 0.4699999999999998}",20,0,-8.562832773601976,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",1
19,False,"{'a': 0.2, 'e': 0.5099999999999998}",25,0,-36.89454272947785,"{0: 21, 1: 2, 2: 1, 3: 0, 4: 1}",0
20,False,"{'a': 0.2, 'e': 0.5499999999999998}",30,0,-139.0547893185793,"{0: 20, 1: 2, 2: 4, 3: 2, 4: 2}",0
21,False,"{'a': 0.2, 'e': 0.5899999999999999}",25,0,-45.19565151116763,"{0: 17, 1: 2, 2: 6, 3: 0, 4: 0}",0
22,False,"{'a': 0.2, 'e': 0.6299999999999999}",20,0,-107.16559874080178,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
23,False,"{'a': 0.2, 'e': 0.25}",20,8,-49.56293705108379,"{0: 8, 1: 1, 2: 2, 3: 0, 4: 1}",1
24,False,"{'a': 0.2, 'e': 0.24}",30,0,-101.7520845235551,"{0: 25, 1: 1, 2: 1, 3: 0, 4: 3}",0
25,False,"{'a': 0.2, 'e': 0.27999999999999997}",25,0,-58.90405573258925,"{0: 19, 1: 3, 2: 1, 3: 1, 4: 1}",0
26,False,"{'a': 0.2, 'e': 0.31999999999999995}",20,6,20.79252736513451,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
27,False,"{'a': 0.2, 'e': 0.30999999999999994}",20,0,31.30052556902353,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
28,False,"{'a': 0.2, 'e': 0.3499999999999999}",25,0,-29.84828338645685,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
29,False,"{'a': 0.2, 'e': 0.3899999999999999}",20,0,-5.224488357535195,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
30,False,"{'a': 0.2, 'e': 0.4299999999999999}",20,0,9.318035958029228,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
31,False,"{'a': 0.2, 'e': 0.46999999999999986}",30,10,4.496981211411429,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",1
32,False,"{'a': 0.2, 'e': 0.45999999999999985}",20,7,-6.036265918626269,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 0}",1
33,False,"{'a': 0.2, 'e': 0.44999999999999984}",25,0,-41.53429710402668,"{0: 18, 1: 1, 2: 6, 3: 0, 4: 0}",0
34,False,"{'a': 0.2, 'e': 0.4899999999999998}",20,0,-14.41081705445305,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
35,False,"{'a': 0.2, 'e': 0.5299999999999998}",25,0,-156.87343745205314,"{0: 14, 1: 1, 2: 7, 3: 1, 4: 2}",0
36,False,"{'a': 0.2, 'e': 0.5699999999999998}",20,1,-4.710711460266946,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 0}",1
37,False,"{'a': 0.2, 'e': 0.5599999999999998}",20,16,5.398766619461888,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
38,False,"{'a': 0.2, 'e': 0.5499999999999998}",30,13,-56.284300567216775,"{0: 13, 1: 0, 2: 2, 3: 1, 4: 1}",1
39,False,"{'a': 0.2, 'e': 0.5399999999999998}",20,10,-22.509791000838604,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
40,False,"{'a': 0.2, 'e': 0.5299999999999998}",35,11,11.350910857032842,"{0: 20, 1: 3, 2: 1, 3: 0, 4: 0}",1
41,False,"{'a': 0.2, 'e': 0.5199999999999998}",20,2,-123.31940528763363,"{0: 10, 1: 3, 2: 2, 3: 1, 4: 2}",1
42,False,"{'a': 0.2, 'e': 0.5099999999999998}",30,18,-16.036883487158757,"{0: 9, 1: 2, 2: 0, 3: 1, 4: 0}",1
43,False,"{'a': 0.2, 'e': 0.4999999999999998}",25,10,-37.068335773984906,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 1}",1
44,False,"{'a': 0.2, 'e': 0.48999999999999977}",20,0,-16.995820710626393,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
45,False,"{'a': 0.2, 'e': 0.5299999999999998}",20,12,8.772207974381896,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
46,False,"{'a': 0.2, 'e': 0.5199999999999998}",25,0,30.980639449930173,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
47,False,"{'a': 0.2, 'e': 0.5599999999999998}",25,0,-71.23263161094131,"{0: 20, 1: 1, 2: 2, 3: 0, 4: 2}",0
48,False,"{'a': 0.2, 'e': 0.5999999999999999}",20,0,-51.437547539119215,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
49,False,"{'a': 0.2, 'e': 0.6399999999999999}",20,0,-22.26792497832102,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
50,False,"{'a': 0.2, 'e': 0.25}",20,0,21.307863329208043,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
51,False,"{'a': 0.2, 'e': 0.29}",20,6,16.993046287194087,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
52,False,"{'a': 0.2, 'e': 0.27999999999999997}",20,0,5.074254845018503,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
53,False,"{'a': 0.2, 'e': 0.31999999999999995}",20,0,-7.672237331777816,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
54,False,"{'a': 0.2, 'e': 0.35999999999999993}",25,0,-25.386314209519146,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",0
55,False,"{'a': 0.2, 'e': 0.3999999999999999}",25,1,-51.75230101174343,"{0: 17, 1: 5, 2: 1, 3: 0, 4: 1}",1
56,False,"{'a': 0.2, 'e': 0.3899999999999999}",25,15,17.435177250191117,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
57,False,"{'a': 0.2, 'e': 0.3799999999999999}",20,9,-40.52192135308993,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 1}",1
58,False,"{'a': 0.2, 'e': 0.3699999999999999}",30,18,-5.596598397739611,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
